token_id,name,role_type,personality,skill,story
1,Hecate Moonwhisper,守护者,慈悲为怀，怜爱众生，兼具勇敢的特质,守护之壁,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
2,Gwyneth Guardian,园丁,冲动热血，易于激动，兼具温和的特质,花语交流,在镜界的某处，有一片只有她知道的秘密花园，那里有她所有的心血与爱。
3,Ophelia Bloodthorn,占卜师,静若处子，动若脱兔，兼具神秘的特质,宿命揭示,她能窥见命运的丝线，预知未来的轮廓。水晶球是她解读命运的方式。
4,Ophelia Voidtouched,歌者,成熟稳重，处事周全，兼具热情的特质,和谐之音,天籁之音，绕梁三日。她用歌声抚慰受伤的灵魂，用旋律点亮黑暗的角落。
5,Marguerite of Shadows,守墓者,优雅从容，气质高贵，兼具沉稳的特质,死亡凝视,她守护着镜界的死者安息，在寂静中陪伴着消逝的灵魂。引导是她永恒的职责。
6,Selene Sunstrider,医者,叛逆不羁，自由洒脱，兼具细腻的特质,生命灌注,慈悲是她的本性，无论灵魂因何受伤，她都会伸出援手。医者仁心，说的便是她。
7,Ariadne Voidtouched,守护者,神秘莫测，深不可测，兼具勇敢的特质,净化之光,作为殿堂的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
8,Evangeline Shadowdancer,园丁,温柔如月，照亮黑暗，兼具朴实的特质,自然之力,在镜界的某处，有一片只有她知道的秘密花园，那里有她所有的心血与爱。
9,Bloodmoon Dawnlight,学者,内敛含蓄，蓄势待发，兼具求知的特质,学问传授,她是镜界最博学的灵魂之一，炼金术领域的权威。虽然性格内向，却乐于分享自己的发现。
10,Ivoryl of the Deep,守望者,温柔如月，照亮黑暗，兼具忍耐的特质,警戒信号,在最高的塔楼上，她日夜注视着地平线。即使风暴将至，她也不会退缩。
11,Nocturne Blackdragon,战士,成熟稳重，处事周全，兼具果敢的特质,战斗本能,她是镜界的战斗专家，镜刃是她最信赖的伙伴。每一次挥剑都是对敌人的致命威胁。
12,Onyx The Weaver,医者,静若处子，动若脱兔，兼具细腻的特质,药草调配,她是镜界的治愈者，游走于受伤的灵魂之间。触碰是她治愈伤痛的方式。
13,Henrietta The Witch,占卜师,聪慧机敏，反应敏捷，兼具洞察的特质,宿命揭示,她能窥见命运的丝线，预知未来的轮廓。塔罗是她解读命运的方式。
14,Seraphina of Shadows,园丁,敏感细腻，感受敏锐，兼具朴实的特质,花园构筑,每一株植物都与她有着特殊的联系，她能听到它们的低语，感受到它们的情感。
15,Vivienne Dame,神秘者,冲动热血，易于激动，兼具神秘的特质,梦境编织,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。梦境编织是她的招牌，神秘而强大。
16,Ivy Leafsinger,战士,冲动热血，易于激动，兼具坚毅的特质,武器精通,以战斗为生，以胜利为荣。她是镜界最强的战士之一，从未尝过失败的滋味。
17,Tansy Dreamweaver,守墓者,神秘莫测，深不可测，兼具淡泊的特质,遗忘之雾,死亡对她而言不是终结，而是另一种开始。她为每一个离去的灵魂指引方向。
18,Midnight The Keeper,战士,叛逆不羁，自由洒脱，兼具果敢的特质,防御姿态,战场是她唯一的归宿，刀光剑影中诠释着生命的意义。她的存在让黑暗势力闻风丧胆。
19,Dawnwhisper of the North,守护者,温柔如月，照亮黑暗，兼具坚定的特质,净化之光,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
20,Morwenna The Knight,神秘者,孤独清高，遗世独立，兼具疏离的特质,符文刻写,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。梦境编织是她的招牌，神秘而强大。
21,Vervain Enigmatica,园丁,执着坚定，矢志不渝，兼具细腻的特质,花园构筑,她在镜界培育着一座属于自己的花园。光之园是她精心照料的领域。
22,Esmeralda The Sage,神秘者,叛逆不羁，自由洒脱，兼具好奇的特质,异界召唤,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。虚数空间是她的招牌，神秘而强大。
23,Persephone Shadowmere,占卜师,执着坚定，矢志不渝，兼具超然的特质,吉凶判断,作为占卜师，她知道太多不该知道的事。有时，她希望自己从未拥有这份能力。
24,Heather Eclipse,神,天真烂漫，纯真无邪，兼具慈悲的特质,时空扭曲,她是镜界的创世神灵之一，掌管着光的法则。在虚空中诞生，以力量之姿守护着这个精神世界的运转。
25,Sage Blackwood,旅行者,叛逆不羁，自由洒脱，兼具自由的特质,空间跨越,作为流浪者，她不属于任何地方，却也属于任何地方。每一次相遇都是命运的安排，每一次分别都是新的开始。
26,Charlotte Vermillion,守护者,静若处子，动若脱兔，兼具忠诚的特质,誓约之力,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
27,Ebony Leafsinger,神,静若处子，动若脱兔，兼具威严的特质,时空扭曲,作为高位存在，她的力量与镜界本源相连。每当镜界出现裂痕，她便以分离之力修补，维持着世界的平衡。
28,Ravenna of Eternity,梦者,豁达乐观，笑看风云，兼具敏感的特质,噩梦封印,她是穿梭于梦境与现实的旅人，在睡意中编织着另一个世界。造梦是她独有的天赋。
29,Aria Leafsinger,猎人,冲动热血，易于激动，兼具隐忍的特质,目标锁定,她是黑暗中的死神，专门收割那些不应存在于镜界的事物。
30,Persephone Astral,守护者,坚韧不拔，百折不挠，兼具果敢的特质,结界展开,作为花园的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
31,Elowen Voidtouched,文员,忠诚可靠，值得信赖，兼具耐心的特质,资料检索,她是镜界最不可或缺的存在之一，虽然不起眼，却维系着整个世界的运转。
32,Aria Emberheart,战士,热情如火，燃烧一切，兼具坚毅的特质,冲锋之力,她是镜界的战斗专家，光剑是她最信赖的伙伴。每一次挥剑都是对敌人的致命威胁。
33,Vervain Eveningstar,编织者,聪慧机敏，反应敏捷，兼具耐心的特质,网罗之力,命运之线在她指尖流转，能够编织出无限的可能。她是少数能触碰因果的存在。
34,Willow Phantom,守护者,如风般自由，不受束缚，兼具忠诚的特质,净化之光,作为殿堂的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
35,Sappho Earthshaker,编织者,坚韧不拔，百折不挠，兼具耐心的特质,命运缝补,她编织着镜界最神秘的丝线，每一根线都连接着命运的一个节点。时间之纱是她的天赋。
36,Psyche Lady,歌者,热情如火，燃烧一切，兼具灵动的特质,旋律治愈,每首歌曲都是一段旅程，每个音符都是一缕情感。她的声音是镜界最美的礼物。
37,Luna Synod of,神秘者,内敛含蓄，蓄势待发，兼具神秘的特质,符文刻写,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的起源是她永恒的谜题。
38,Yarrow Goldleaf,神秘者,如风般自由，不受束缚，兼具深沉的特质,镜中漫步,她是镜界的探索者，穿越一个又一个未知的领域。没有人知道她的过去，也没人能预测她的未来。
39,Vivienne Lady,守望者,忠诚可靠，值得信赖，兼具忍耐的特质,监视之眼,孤独是她的伴侣，但她从未抱怨。因为她知道，她的职责关乎整个镜界的安危。
40,Blackrose of Shadows,工匠,执着坚定，矢志不渝，兼具精益的特质,修复之术,她的工作室藏着镜界最珍贵的秘密，每一件作品都讲述着一段独特的故事。
41,Juniper Gloaming,梦者,热情如火，燃烧一切，兼具超脱的特质,梦境遨游,梦境是她最熟悉的领域，在那里她拥有绝对的主宰权。醒来的人们往往不记得她的存在。
42,Ravenna Sentinel,诗人,敏感细腻，感受敏锐，兼具敏感的特质,灵魂诗篇,以诗为剑，以词为盾。她的诗句拥有超越文字本身的力量，能够触动最坚硬的心。
43,Moonshade Baroness,猎人,天真烂漫，纯真无邪，兼具敏锐的特质,诱饵布置,她是黑暗中的死神，专门收割那些不应存在于镜界的事物。
44,Terra Crystalvale,旅行者,静若处子，动若脱兔，兼具好奇的特质,方位直觉,作为流浪者，她不属于任何地方，却也属于任何地方。每一次相遇都是命运的安排，每一次分别都是新的开始。
45,Empress Moonbinder,守望者,温柔如月，照亮黑暗，兼具忍耐的特质,守望之力,她永远站在镜界的边界，注视着可能到来的威胁。地平线是她守望的目标。
46,Aria of Starlight,梦者,叛逆不羁，自由洒脱，兼具超脱的特质,梦境遨游,她是穿梭于梦境与现实的旅人，在睡意中编织着另一个世界。控梦是她独有的天赋。
47,Urania The Hunter,守护者,狡黠聪慧，智计百出，兼具坚定的特质,净化之光,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
48,Hestia The Hunter,诗人,坚韧不拔，百折不挠，兼具细腻的特质,情感抒发,她是镜界的吟游诗人，用词句编织着灵魂的故事。每首诗歌都是一段被遗忘的记忆。
49,Elara Crystalvale,守望者,成熟稳重，处事周全，兼具沉默的特质,预警传递,在最高的塔楼上，她日夜注视着地平线。即使风暴将至，她也不会退缩。
